cluster,neighbor,sil_width
7,8,0.42481088244127296
5,7,0.08705888390495532
8,7,0.34604258941512106
6,8,0.04415399695998368
5,7,0.37975646073820024
5,7,0.565148430923577
5,8,0.06874672091254153
5,7,0.5730797248487258
3,1,0.47254077730015126
5,1,0.5143624168647168
5,8,0.39388044874244604
3,1,0.06651229655708754
3,5,0.1992741224824945
5,7,0.5621158929769209
8,5,0.18625077268453472
6,8,0.16129805537340428
6,8,0.43869971969389515
5,8,0.09024957235958966
6,8,0.05166247802847108
5,7,0.455362701153733
8,6,0.4800686008938599
1,4,0.401959186543212
5,3,0.6098890204642158
8,6,0.28939941329280533
5,3,0.5165331697353337
4,1,0.6162680893615207
5,7,0.5906599194914487
1,4,0.5560388304658903
5,1,0.004131668017500596
5,8,0.07405424443133495
4,1,0.578562846271548
6,8,0.30496180505263365
1,4,0.253242627670592
1,4,-0.007185847889058288
5,7,0.11513378653684182
8,7,0.5394895945934197
6,8,-0.011521798172913796
1,3,0.03573278223021638
5,2,0.18830679363746083
1,4,0.13911442336111696
2,3,0.4012704863506529
5,7,0.10759775525541014
5,7,0.18192268985884755
6,8,0.2136293520826975
7,5,0.2768596757173047
8,6,0.24558177406686194
8,6,0.47915731563680086
1,5,-0.01136321354751121
1,5,0.103279109431281
2,3,0.405823110370784
8,5,0.12792813166281053
5,7,0.33248695527598077
7,5,0.17709849764798466
5,7,0.3975845932908724
5,7,0.485709489214626
8,7,0.545254400059606
3,1,0.10510710438314598
1,3,0.4161273570846785
8,6,0.3425144561060074
6,8,0.30401126427782127
1,3,0.03353172684001549
8,7,0.49497626985115734
4,1,0.5097392044468991
1,4,0.5222141244532847
8,6,0.04865037278468747
8,7,0.41303939743623785
8,6,0.4790423086138069
5,2,0.28741142835658273
6,8,0.3362607480475114
6,8,0.14948116927132518
1,4,0.4827786493591773
5,8,0.36797617718994385
3,4,0.504878933274567
5,1,0.22907608353741998
8,6,0.4018155462596061
1,3,0.2828857606597562
8,5,0.21888950729046133
8,6,0.30033665751137706
5,2,0.002240649761001451
6,8,0.42410259813596607
1,4,0.5483634404496865
8,6,0.0833933401291023
6,8,0.018498332763820045
6,8,0.1547357173568456
8,5,0.13101166071128267
8,6,0.4267945637451884
5,1,0.22360788673299728
8,6,0.05087029435916705
6,8,0.2552337889511794
2,6,0.14016200986667296
6,2,0.343315605879968
1,4,0.40907612913757907
6,8,0.12492180930230969
1,4,0.5665651855300418
6,8,0.42467034397000203
4,1,0.5730765546268306
2,6,0.4196386778691573
5,3,0.48982908820905857
1,5,0.28501599834667735
6,8,0.4251280852890574
6,2,0.3717543005452898
4,1,0.5211858140121256
1,4,0.4909487187098466
3,2,0.5294142777830871
5,1,0.547425802469174
6,8,0.3159366996460501
6,8,0.19370778047656537
6,8,0.20166297923297138
6,8,0.22428787012189497
6,8,0.19478134501056354
8,6,0.1916884300731876
8,5,0.3104186156988336
8,5,0.30123852621610264
5,8,0.11494710554969124
6,2,0.5101437479790444
6,8,0.164610802102941
8,6,0.08610254960612791
6,8,0.19569398055923895
7,8,0.1387493853967428
7,5,0.24448690121496616
6,8,0.059360322710579456
6,8,0.02945908736589229
3,5,0.08735621794828631
6,2,0.08743801056456625
8,6,0.23963006636651213
3,1,0.19501480291781792
6,8,0.39527663854373973
6,8,0.1993526635059057
6,8,0.5418127406124242
6,8,0.05820735062309697
6,8,0.17960062919839104
5,2,0.10292029267781537
6,8,0.31773190732277784
4,1,0.5326605505386958
6,2,0.3927381872460797
8,5,0.04783875856807721
1,4,0.4733524764584616
1,4,0.4482640012866238
1,3,0.14591908527240735
4,1,0.5846991442461705
8,7,0.40869115742929724
4,1,0.2600424351791228
1,4,0.4383891320994603
2,6,0.09236167756892769
1,4,0.5663720978329777
5,3,0.47167209448109215
5,7,0.10389268974667427
3,1,0.02729147690294374
6,8,0.3831442764561632
8,6,0.42900419043037186
8,6,0.43802107027624765
2,3,0.3570852540326523
6,8,0.13378503639908693
7,5,0.19927223583065803
6,8,0.37169736282297056
8,6,0.21716457068696024
6,8,0.5256052044654683
5,3,0.3695875372786004
6,5,0.06952873201467373
1,5,0.38613458277863233
6,2,0.45000988076236775
5,7,0.23191013343023825
8,5,0.11016974884780588
2,6,0.4450558227870221
5,7,0.22411496256823227
6,2,0.1732749750268618
5,8,0.09437847642798793
8,5,0.10505417109881938
5,1,0.3853965779334876
3,1,0.034132297789889396
5,8,0.07906113020938935
8,6,0.5906101847575134
5,3,0.2165797360500856
2,6,0.4157421343106392
8,7,0.5828117973564423
4,1,0.2444083319302606
1,4,0.28592342504599205
1,4,0.4706212130544188
6,2,0.31501191345250723
6,8,0.11147675623916403
6,8,0.06975941309923776
8,5,0.5218854735465844
8,5,0.28527961623425735
3,4,0.2325777072166549
8,5,0.40436032456058546
8,7,0.25065437002949
2,6,0.36474259353148325
8,6,0.5729833081424708
6,2,0.2642205436085772
7,5,0.5057086411519768
1,5,0.5219278937907574
8,6,0.5648292815556551
5,1,0.5616191247300344
8,6,0.510014319166823
1,4,0.47799359151260695
1,5,0.3772306818811494
1,4,0.4896441011280832
2,3,0.37495594012447403
6,8,0.09622469090404834
8,6,0.29863560948387513
1,4,0.19938339144504502
2,5,0.12553653884281965
5,8,0.11220102026380008
1,5,0.4005671194559149
6,2,0.5512731714119993
2,3,0.4086109887869741
3,4,0.6038707988683208
4,1,0.5448510262922808
8,6,0.3131741185368076
8,6,0.1224795538565123
8,7,0.45965327177101045
6,8,0.29400041587359665
5,3,0.5351930704243283
4,1,0.49370084429913963
3,1,0.014128462456275626
6,8,0.09281921756487944
4,1,0.2520508676189152
8,7,0.44629426751484974
1,4,0.14787847852286645
3,2,0.38643811028266206
6,8,0.026920133444452918
7,8,0.5250965044442313
2,6,-0.014886027348103298
6,8,0.15228415928683914
5,2,0.2910411224964212
2,6,0.1615968668451693
6,8,0.3680530414194941
7,5,0.40557156911343695
7,5,0.21057616915328056
2,5,0.2106360960805538
8,7,0.4553541607076461
1,3,0.05007638616796327
1,4,0.4508241941364652
1,5,0.29226026410428896
6,8,0.20685127669725506
8,6,0.4660989387677281
1,4,0.01244771410693426
2,6,0.10558203719730147
3,4,0.014459162193025196
8,6,0.6001550709009971
5,7,0.13970752615772752
8,5,0.14235849302836984
7,5,0.333382411219099
8,5,0.3188720073244628
5,8,0.45908881780269756
6,8,0.4214256839176372
6,5,-0.012593645360033627
4,1,0.528234738546188
6,8,0.2233557127880891
1,4,0.09699143735801474
6,8,0.327252838886011
6,8,0.19756435813241294
8,6,0.4856300145702598
6,2,0.22708224012983266
4,1,0.4982323534234127
3,1,0.015498499004122274
3,1,0.16365842657313112
1,5,0.5427122753556572
6,2,0.18973536870509752
5,8,0.4146701851532555
5,7,0.33911719493349907
8,6,0.4860252146100114
6,2,0.2345382438625915
6,8,0.310112809575174
6,8,0.08052311462419363
6,2,0.12313314979965163
2,6,0.4761738708836299
1,4,0.3663651548422581
1,4,0.3572646118008731
7,8,0.3992763880425944
5,3,0.3213118544747345
6,8,0.18131830949852829
