doc_id,nonzero_terms,max_tfidf,mean_tfidf
202,66,0.16309411384773626,0.0016302463138090078
203,79,0.16986456099452218,0.0016707925107109379
204,72,0.2869060477523669,0.0015537399019334183
205,53,0.5071455139599086,0.0017841746098449917
206,110,0.11933905979339292,0.0016817327898722466
207,83,0.2034177852496909,0.0015794648674678986
208,61,0.3402344454185629,0.001453919420800115
209,64,0.3113068173335606,0.0014653727536109308
210,39,0.2613798772116281,0.0015236464372035043
211,49,0.267003655929886,0.0014263042715509681
212,97,0.17970716612863205,0.0014996870546328165
213,78,0.20445232527878482,0.0017228312759113434
214,91,0.2926108672988517,0.0015471066550103486
215,85,0.28740041108334835,0.0015150137130337778
216,49,0.19213120468300832,0.0014903376597934193
217,62,0.2144653422934292,0.001723919558598542
218,78,0.3488590111853672,0.001605751815190599
219,66,0.3265762966267585,0.0014096527893029725
220,64,0.1319311647216037,0.0013368644634950135
221,52,0.2976331737849296,0.0016369827245539036
222,49,0.4181643796177417,0.0017404203848421372
223,81,0.2055942525749456,0.0015285282746222283
224,101,0.12838799291776565,0.0017808308918979077
225,75,0.27722662755530514,0.001432554240023088
226,87,0.20938920165715114,0.0015042113016111524
227,81,0.23147494364889312,0.001544771047609761
228,53,0.20869068007591435,0.0018950834129289873
229,74,0.36267377316590865,0.0017344461504435653
230,75,0.14818858744260818,0.001631336138095197
231,61,0.1233297508221377,0.001578085401945975
232,85,0.30369724541444876,0.001709305557148602
233,51,0.3219985084903279,0.0015392457936020322
234,71,0.21146265168329045,0.001527013715914686
235,99,0.10507072213165987,0.0016899804530879842
236,63,0.25454595397095925,0.001456539122934371
237,71,0.1483614584021646,0.0014824896745976835
238,41,0.20519854349797767,0.001348209221016006
239,39,0.30687798715255776,0.0021826514978738687
240,51,0.18880891815826853,0.0018849756887667208
241,70,0.15199721939020372,0.0014707761755730431
242,115,0.20163064797075286,0.0016242289804751164
243,88,0.1879516877319896,0.0014357783726975343
244,81,0.25550954266550907,0.0016292366427471277
245,77,0.16412329254265717,0.0014869600096102265
246,48,0.4347191740338567,0.0016059392401952765
247,78,0.25127529229933243,0.0017692030251518038
248,73,0.17526822052132995,0.0015701250906585717
249,62,0.283968645610424,0.0016236625902097143
250,54,0.39892599428534087,0.0015799657082054776
251,56,0.35572517498752176,0.001684998704991755
252,80,0.3042684631218225,0.0015768916938729638
253,62,0.3799426382013747,0.0017176729478086683
254,78,0.1642315992948426,0.0015501316579818133
255,108,0.2369355790197066,0.0016571960783971346
256,88,0.37757669251075876,0.00162071524065292
257,73,0.19013120575531736,0.0015907819642095565
258,78,0.3392336444077292,0.0017691236666884612
259,89,0.14292855860593293,0.001559399400227088
260,63,0.3531165872327597,0.0016116077536774249
261,73,0.2325751554586388,0.0015796166829863288
262,46,0.40300920331720663,0.0015210001592522642
263,73,0.2569510001851613,0.001756124986447067
264,37,0.3579550275456545,0.0016505416950252133
265,48,0.25671586289836085,0.001383371090868197
266,101,0.3198444543245062,0.0016695200970689725
267,68,0.32352248195600697,0.0017112721451030568
268,116,0.18045986649996165,0.0015959842586720791
269,93,0.21917581276516118,0.001685724060072671
270,69,0.1823291542718204,0.0017224094283051915
271,115,0.15263863252046062,0.0016344085987371165
272,120,0.28750979108997715,0.0015430743522324528
273,127,0.11637264254621167,0.0015489877962654142
274,54,0.19730655617326823,0.0015975117979982727
275,33,0.2753724411140377,0.001453527292678423
276,106,0.16913313014845327,0.0016533316053010307
277,106,0.15161914732401646,0.001671654969174123
278,73,0.19740127116426665,0.0015045254867399336
279,101,0.17230068999859904,0.0018479810482788504
280,81,0.28078582652044315,0.001591694799465653
281,98,0.128230325451322,0.001494120974542484
282,69,0.17686824730306566,0.0016263365015144002
283,86,0.1789490502125135,0.0014914387204361425
284,67,0.1902085429068643,0.0013707565087441738
285,61,0.14387252414873372,0.0017393618796429267
286,52,0.5137852630321484,0.0016499821676523834
287,97,0.2719104762233385,0.0015689481420596116
288,92,0.42959130396593515,0.0015690745936849885
289,107,0.11556576100930524,0.0014916687649632482
290,78,0.1496314629721416,0.001413746309028695
291,109,0.15552726789903307,0.0015276872710036557
292,90,0.19986852766581797,0.0014567797147630628
293,52,0.33600680706962754,0.0016765397607567348
294,78,0.2507635981418556,0.0015231604003237643
295,81,0.22229002801121184,0.0017200636680625798
296,60,0.29416487595846114,0.0017737811526949859
297,103,0.10028959689074289,0.0015018516411126784
298,98,0.17083240954564324,0.0014873613652959734
299,65,0.3809910381227223,0.001735419730915126
300,85,0.10397443993911835,0.0013579544917688882
301,87,0.2873411455399909,0.0015991997089558718
302,28,0.28808953895954403,0.0013401691891661955
