doc_id,UMAP1,UMAP2,cluster_kmeans,cluster_hdbscan
253,-2.4531182995760603,4.183360360534392,8,3
254,1.3386162766492207,5.743481181533538,6,3
255,3.6909873732602434,0.0757303461148362,7,3
256,2.7207122096097307,-4.554535366623201,4,3
257,3.098637605575307,-5.975696064560212,4,3
258,2.3122508772885637,-3.186097122757234,7,3
259,2.643569017318471,-5.415709473221101,4,3
260,-0.5574379316294353,-5.043883301346101,4,3
261,3.7436230429684954,-2.767218090622224,7,3
262,1.791333819297536,4.314837001235686,6,3
263,-2.6524810543978377,-1.8313731923983474,3,3
264,0.9795532473599751,-5.67784259471158,4,3
265,-2.549719308944957,-5.989830471603669,5,3
266,1.89910760012029,7.176931880386077,6,3
267,3.3759758719479875,0.36833085861941384,7,3
268,1.971125627425893,5.226550124557219,6,3
269,-0.6062922826731365,-0.18466172370175316,2,3
270,3.547317052749379,6.802849791915618,6,1
271,4.061076904205068,-1.8514499441073318,7,3
272,4.497835422424062,-2.131928421585359,7,3
273,3.5836379775082903,-2.438048340408601,7,3
274,-2.709604238601939,7.183175586135588,8,3
275,0.8089580186879475,5.733752272994719,6,3
276,-1.6417363635027569,-3.3926296010897534,5,3
277,-2.899946426483409,-4.290030933944978,5,3
278,-3.153235887619273,1.9998216256215195,3,3
279,2.9766481169736223,0.22867818918963478,1,3
280,1.333244825271352,-1.9802021757052322,2,3
281,0.48208865013478586,-5.186782337753572,4,3
282,-1.8373852721178692,0.3499940260960679,3,3
283,-1.8269524327242535,0.20065643635531472,3,3
284,2.3371250876462297,-4.2373070493624585,4,3
285,3.701214576629384,0.15274085846682595,7,3
286,5.383910442260488,-0.4574734941409011,7,2
287,-2.3245675316775007,-2.0722186342165845,5,3
288,0.37779777732251474,-2.028001762954988,2,3
289,1.548986578849538,-3.720037438003816,4,3
290,0.23236050691960639,-2.038530565826692,2,3
291,0.047945956257565675,-1.6924776807711501,2,3
292,3.2322850474393205,0.0023839696957688172,7,3
293,-0.45739159497858695,-2.3786008134768384,2,3
294,0.953493381408437,-6.036185719101228,4,3
295,1.25832071390508,5.660073779494963,6,3
296,3.0491013773953752,0.22778161612292336,7,3
297,-2.222601627441661,-2.1618587747500317,5,3
298,0.7832067259824116,-3.347913242904939,4,3
299,3.311152482894643,-6.281517006485261,4,3
300,-2.59701535615565,-3.8857822194979565,5,3
301,3.2518186816251116,-2.252146698562898,7,3
302,1.4722713479077656,0.2844366058423142,1,3
303,3.634021545318349,-3.0076956525729077,7,3
304,-2.2254626503908796,-2.172453381149568,5,3
305,1.9660978564297993,-4.401958920089998,4,3
306,2.5010926970517473,-3.6817645803378003,7,3
307,3.3676347979581194,-3.1726212278292554,7,3
308,3.603992248443349,6.763362430007659,6,1
309,2.203834558395131,-1.0794470086977859,7,3
310,2.1522255190884905,-0.48826656493405296,2,3
311,2.199181342986806,-0.3989058509753127,2,3
312,1.4488619813000996,1.1255730017735581,1,3
313,3.4105832823788957,-2.678611017792024,7,3
314,-0.5075062862360638,3.5637347921444995,8,3
315,2.560512329009755,-0.7934992090151687,7,3
316,0.6789033063924153,-0.9897131696627517,2,3
317,2.7496936568295793,-0.8421928659365554,7,3
318,-2.536196207138316,-3.8432869687960522,5,3
319,4.180279994872793,-3.5226888433382886,7,3
320,0.4980879673039753,-4.142247654526033,4,3
321,-2.6131033650362654,-3.685276009170808,5,3
322,-1.381822084518687,-3.7942218557284253,5,3
323,2.2252686270749407,3.438614152343474,1,3
324,1.7451612004315693,6.155357383163176,6,3
325,2.988013530639394,4.988823913009368,6,3
326,-2.321346973510997,-2.074372984497346,5,3
327,-0.4298417917215984,0.09273900833865212,2,3
328,-1.9060756913149517,-2.5067069307253735,5,3
329,3.595494533447011,6.722371600539885,6,1
330,-2.597963546844737,-5.773328758804597,5,3
331,-0.010639732214228453,-6.787622906296052,4,3
332,-2.8821964016878767,-5.972499825088777,5,3
333,2.1951406249081926,-0.02530417594174339,2,3
334,5.463203693298086,-0.5518810525820632,7,2
335,1.7131843813931782,5.556138537795745,6,3
336,-0.012447630497233214,-3.351080395309724,2,3
337,2.55497005071996,-5.447091557113923,4,3
338,-2.081561779114024,-2.3512155786440747,5,3
339,-1.1959556094134014,-4.372577168075837,5,3
340,2.096125627425893,-4.282648064224519,4,3
341,-1.619848345848338,7.238104842574797,8,3
342,-2.7744259587252302,6.8934984430386645,8,3
343,-1.5807524672472637,7.3046899065091235,8,3
344,1.1719526299512226,-3.7894472852633374,4,3
345,2.7366154440915422,-0.7766152397082229,7,3
346,2.4810333498990373,-2.303376175491609,7,3
